state,county,fips,trump16,clinton16,otherpres16,romney12,obama12,otherpres12,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,demgov16,repgov16,othergov16,repgov14,demgov14,othergov14,total_population,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc
Florida,Volusia,12127,143007,109091,8771,117490,114748,2298,104531,139933,12213,108879,141764,0,NA,NA,NA,85643,79203,10789,510806,403925,73.62325423,10.17235506,12.33227488,26.37674577,7.353476662,51.31595948,32.42013602,23.20137195,42240,7.80298813,10.7077851,77.58413622,8.938795573,76.46129595,9.94332714,2
Florida,Wakulla,12129,10512,4348,491,9290,5175,195,4852,9773,574,4583,9942,337,NA,NA,NA,6441,4559,555,31314,24455,79.05090375,15.00287411,3.678865683,20.94909625,1.970364693,44.19109663,35.4090822,12.86644951,54078,7.073153851,12.3156904,83.35947654,10.25960775,82.32059857,61.67793086,2
Florida,Walton,12131,25756,6876,1005,21490,6671,333,6334,25722,1282,7580,24679,0,NA,NA,NA,15139,4342,896,61528,47490,84.44773111,4.950591601,5.888376024,15.55226889,5.759979196,49.34988948,33.16538812,18.78331816,46910,7.295473714,15.08397356,73.69126318,13.08144762,72.42442144,63.12519303,3
Florida,Washington,12133,8637,2264,255,8038,2820,141,2232,8323,475,2213,8403,304,NA,NA,NA,5787,2027,438,24627,19405,77.60994031,15.68603565,3.439314573,22.39005969,2.716530637,45.4826004,34.9819304,17.49299549,38330,9.843214619,20.1793722,89.01629108,18.94903314,88.37610524,84.55173522,6
Georgia,Appling,13001,5494,1434,84,5233,1758,95,1187,5170,154,1305,5387,0,NA,NA,NA,3188,1124,92,18410,13180,70.00543183,18.23465508,9.353612167,29.99456817,4.378055405,51.27104834,38.97881586,15.52417165,37388,8.46092925,23.62485802,88.08210287,19.2109589,86.15890411,71.44110551,7
Georgia,Atkinson,13003,1878,697,35,1938,930,34,596,1678,65,638,1718,0,NA,NA,NA,1005,561,55,8268,5150,56.37397194,17.9729076,24.74600871,43.62602806,13.06240929,48.66956942,43.22689889,11.4658926,31296,5.914870094,32.10516216,93.32181923,22.36391913,90.45101089,100,9
Georgia,Bacon,13005,3364,608,48,3093,791,47,474,3046,95,0,3281,0,NA,NA,NA,1675,440,76,11251,7895,74.09119189,15.42085148,8.230379522,25.90880811,4.684028086,50.25331082,41.05412852,14.34539152,37303,5.287009063,19.88512035,86.80251641,16.44352901,88.07071747,69.28622927,7
Georgia,Baker,13007,775,650,15,785,794,10,531,763,29,777,627,0,NA,NA,NA,491,478,17,3250,2565,50.18461538,41.23076923,6.615384615,49.81538462,5.046153846,51.47692308,33.2,19.53846154,45903,3.202846975,21.24634044,89.00041824,14.38965238,88.19725141,100,3
Georgia,Baldwin,13009,7697,7970,449,7589,8483,166,6787,7796,464,0,11110,0,NA,NA,NA,4972,5312,210,45808,36225,53.09334614,41.62591687,2.172109675,46.90665386,2.55195599,49.80134474,44.97467691,13.78361858,34595,8.202602131,18.34618834,81.57847534,12.79254264,73.11252149,35.1399825,4
Georgia,Banks,13011,6134,684,157,5354,780,61,673,5705,304,0,6264,0,NA,NA,NA,3583,624,126,18336,13590,88.39441536,2.356020942,6.348167539,11.60558464,4.848385689,49.41099476,36.84009599,16.241274,40721,7.664670659,24.5508982,89.01397206,21.90921936,88.61709643,93.82984507,8
Georgia,Barrow,13013,21108,6580,1372,18725,6028,446,5691,20281,1608,0,24716,0,NA,NA,NA,11790,3743,568,73340,50790,73.66375784,11.17398418,9.603217889,26.33624216,6.906190346,50.68857377,42.33024271,11.18898282,53133,8.596269808,17.96096083,83.21484161,14.64316797,82.57180157,30.06184497,1
